"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AZUL","AZU - 2620",1
"Domestic","AZUL","AZU - 2622",2
"Domestic","AZUL","AZU - 2623",6
"Domestic","AZUL","AZU - 2624",30
"Domestic","AZUL","AZU - 2625",31
"Domestic","AZUL","AZU - 2626",15
"Domestic","AZUL","AZU - 2627",13
"Domestic","AZUL","AZU - 2634",8
"Domestic","AZUL","AZU - 2635",11
"Domestic","AZUL","AZU - 2638",60
"Domestic","AZUL","AZU - 2639",70
"Domestic","AZUL","AZU - 2640",7
"Domestic","AZUL","AZU - 2641",4
"Domestic","AZUL","AZU - 2642",115
"Domestic","AZUL","AZU - 2643",180
"Domestic","AZUL","AZU - 2644",21
"Domestic","AZUL","AZU - 2645",26
"Domestic","AZUL","AZU - 2646",21
"Domestic","AZUL","AZU - 2647",45
"Domestic","AZUL","AZU - 2648",26
"Domestic","AZUL","AZU - 2649",28
"Domestic","AZUL","AZU - 2650",1
"Domestic","AZUL","AZU - 2651",13
"Domestic","AZUL","AZU - 2652",32
"Domestic","AZUL","AZU - 2659",11
"Domestic","AZUL","AZU - 2660",12
"Domestic","AZUL","AZU - 2663",11
"Domestic","AZUL","AZU - 2666",1
"Domestic","AZUL","AZU - 2670",1
"Domestic","AZUL","AZU - 2671",6
"Domestic","AZUL","AZU - 2674",12
"Domestic","AZUL","AZU - 2675",1
"Domestic","AZUL","AZU - 2683",4
"Domestic","AZUL","AZU - 2685",516
"Domestic","AZUL","AZU - 2688",9
"Domestic","AZUL","AZU - 2689",113
"Domestic","AZUL","AZU - 2690",162
"Domestic","AZUL","AZU - 2691",12
"Domestic","AZUL","AZU - 2692",43
"Domestic","AZUL","AZU - 2693",54
"Domestic","AZUL","AZU - 2695",12
"Domestic","AZUL","AZU - 2704",25
"Domestic","AZUL","AZU - 2705",127
"Domestic","AZUL","AZU - 2707",8
"Domestic","AZUL","AZU - 2708",3
"Domestic","AZUL","AZU - 2709",10
"Domestic","AZUL","AZU - 2714",26
"Domestic","AZUL","AZU - 2715",43
"Domestic","AZUL","AZU - 2718",6
"Domestic","AZUL","AZU - 2719",3
"Domestic","AZUL","AZU - 2720",5
"Domestic","AZUL","AZU - 2721",5
"Domestic","AZUL","AZU - 2722",25
"Domestic","AZUL","AZU - 2723",5
"Domestic","AZUL","AZU - 2724",21
"Domestic","AZUL","AZU - 2728",17
"Domestic","AZUL","AZU - 2729",1
"Domestic","AZUL","AZU - 2730",12
"Domestic","AZUL","AZU - 2734",27
"Domestic","AZUL","AZU - 2735",24
"Domestic","AZUL","AZU - 2736",2
